gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,salary
F,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,Fulltime-Regular,Office Services Coordinator,09/22/1986,1986,69222.18
M,POL,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Master Police Officer,09/12/1988,1988,97392.47
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker IV,11/19/1989,1989,104717.28
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,05/05/2014,2014,52734.57
M,HCA,Department of Housing and Community Affairs,Affordable Housing Programs,Fulltime-Regular,Planning Specialist III,03/05/2007,2007,93396.0
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,07/16/2007,2007,70435.0
F,FRS,Fire and Rescue Services,EMS Billing,Fulltime-Regular,Accountant/Auditor II,06/27/2016,2016,60300.0
M,HHS,Department of Health and Human Services,Head Start,Fulltime-Regular,Administrative Specialist II,11/17/2014,2014,64788.65
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,02/05/2007,2007,47670.09
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Electrician I,01/13/2014,2014,63492.87
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/28/2002,2002,58671.02
F,HHS,Department of Health and Human Services,STD and HIV Services,Parttime-Regular,Medical Doctor III - Physician,12/01/2003,2003,152343.2
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,46626.87
M,DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician I,12/14/2015,2015,40631.32
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,02/22/2016,2016,41220.18
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,06/26/2006,2006,97190.31
M,DTS,Department of Technology Services,ERP Technical Support,Fulltime-Regular,Senior Information Technology Specialist,03/07/2005,2005,118400.0
F,LIB,Department of Public Libraries,Olney Library,Fulltime-Regular,Library Assistant I,01/26/2000,2000,55139.66
M,LIB,Department of Public Libraries,Long Branch Library,Parttime-Regular,Library Assistant I,11/22/2010,2010,18881.74
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/30/2014,2014,42053.83
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,03/08/2004,2004,21766.2
F,HHS,Department of Health and Human Services,Community Support Network for People with Disabilities,Parttime-Regular,Office Clerk,05/04/2010,2010,17269.0
,REC,Department of Recreation,Neighborhood Senior Centers - Northern,Fulltime-Regular,Recreation Specialist,12/27/2016,2016,58000.0
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,04/16/2007,2007,65699.03
M,FIN,Department of Finance,Information Technology,Fulltime-Regular,Manager II,12/12/2005,2005,156516.65
M,DLC,Department of Liquor Control,Kingsview,Parttime-Regular,Liquor Store Clerk I,03/28/2016,2016,27805.44
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/05/2000,2000,62836.91
M,POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Technician III,10/20/2014,2014,53148.66
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Information Technology Specialist III,12/26/2006,2006,87758.24
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician II,10/10/2007,2007,38953.38
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,01/16/1990,1990,97912.0
F,POL,Department of Police,MSB Personnel Division,Parttime-Regular,Police Cadet,02/15/2015,2015,16049.0
M,DLC,Department of Liquor Control,Kensington,Parttime-Regular,Liquor Store Clerk I,06/15/2015,2015,28772.07
M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,07/21/2003,2003,86588.0
F,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Imaging Operator II,09/06/2016,2016,40000.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/16/2012,2012,45048.5
M,CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Director Office of Community Partnerships,03/19/2007,2007,176837.0
M,DTS,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Technician,10/07/2013,2013,73801.0
